Hole Depth (feet),Bit Depth (feet),Rate Of Penetration (ft_per_hr),Weight on Bit (klbs),Rotary RPM (RPM),Standpipe Pressure (psi),Hook Load (klbs),Differential Pressure (psi),Flow (flow_percent),Total Pump Output (gal_per_min),Differential Pressure (psi).1,Inclination (degrees),EDR Instantaneous ROP (ft_per_hr),Pason Lag Depth (feet),Shaker 1 load % (percent),Shaker 2 load % (NONE),Shaker 3 load % (NONE),Interpolated TVD (feet),Timestamp,Shaker Total Load,ROP Efficiency,Shaker Load MA,Shaker Load STD,Shaker Load Z,Shaker Load Alert,ROP Efficiency Alert,ALERT
1273,90.81,0,144.3,0.07,0,41.7,-3990.33,1.28,0,-3990.33,91.66,0,18971.29,2.53,9.2,3.16,1272.79,2022-04-14 23:30:00,14.889999999999999,0.0,14.889999999999999,,,False,True,True
1273,90.81,0,144.2,0.06,0,41.8,-3989.62,1.28,0,-3989.62,91.66,0,18971.29,2.53,9.2,3.16,1272.79,2022-04-14 23:30:01,14.889999999999999,0.0,14.889999999999999,0.0,0.0,False,True,True
1273,90.81,0,144.2,0.09,0,41.8,-3989.62,1.28,0,-3989.62,91.66,0,18971.29,2.53,9.2,3.16,1272.79,2022-04-14 23:30:02,14.889999999999999,0.0,14.889999999999999,0.0,0.0,False,True,True
1273,90.81,0,144.2,0.14,0,41.7,-3989.72,1.27,0,-3989.72,91.66,0,18971.29,2.53,9.2,3.16,1272.79,2022-04-14 23:30:03,14.889999999999999,0.0,14.889999999999999,0.0,0.0,False,True,True
1273,90.81,0,144.3,0.06,0,41.7,-3989.94,1.27,0,-3989.94,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:04,14.671,0.0,14.8462,0.09793977741449073,-1.7888361173461413,False,True,True
1273,90.81,0,144.3,0.08,0,41.7,-3989.81,1.28,0,-3989.81,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:05,14.671,0.0,14.816999999999998,0.11309111370925669,-1.2909830333116215,False,True,True
1273,90.81,0,144.2,0.09,0,41.7,-3990.47,1.27,0,-3990.47,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:06,14.671,0.0,14.796142857142856,0.11706042395764216,-1.0690358353076126,False,True,True
1273,90.81,0,144.3,0.05,0,41.7,-3990.82,1.28,0,-3990.82,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:07,14.671,0.0,14.7805,0.11706042395764225,-0.9354063558941698,False,True,True
1273,90.81,0,144.3,0.24,0,41.7,-3989.75,1.28,0,-3989.75,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:08,14.671,0.0,14.768333333333333,0.1154231345961462,-0.8432667368387881,False,True,True
1273,90.81,0,144.2,0.04,0,41.8,-3989.57,1.28,0,-3989.57,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:09,14.671,0.0,14.758599999999998,0.1130911137092569,-0.7745898199869621,False,True,True
1273,90.81,0,144.2,0.08,0,41.8,-3989.91,1.28,0,-3989.91,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:10,14.671,0.0,14.750636363636364,0.11049097042498368,-0.7207434470582812,False,True,True
1273,90.81,0,144.2,0.08,0,41.7,-3990.44,1.27,0,-3990.44,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:11,14.671,0.0,14.744,0.10782814609789582,-0.6769969219057456,False,True,True
1273,90.81,0,144.2,0.07,0,41.8,-3990.31,1.28,0,-3990.31,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:12,14.671,0.0,14.738384615384614,0.10520419704994256,-0.6405065269981519,False,True,True
1273,90.81,0,144.2,0.08,0,41.7,-3990.42,1.28,0,-3990.42,91.66,0,18971.29,2.641,9.02,3.01,1272.79,2022-04-14 23:30:13,14.671,0.0,14.733571428571427,0.10266878357553076,-0.6094434642047888,False,True,True
1273,90.81,0,144.2,0.05,0,41.8,-3990.49,1.28,0,-3990.49,91.66,0,18971.29,2.769,9.04,3.18,1272.79,2022-04-14 23:30:14,14.988999999999999,0.0,14.750599999999999,0.11890139972743352,2.005005790854497,False,True,True
1273,90.81,0,144.2,0.11,0,41.8,-3990.81,1.28,0,-3990.81,91.66,0,18971.29,2.769,9.04,3.18,1272.79,2022-04-14 23:30:15,14.988999999999999,0.0,14.7655,0.1294109732596122,1.7270426713271594,False,True,True
